bench	base_name	program_name	io_mode	input_size	object	memory
simple	simple	simple_xdp	staged	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/simple.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/simple.mem
simple_packet	simple_packet	simple_packet_xdp	packet	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/simple_packet.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/simple_packet.mem
memory_pair_sum	memory_pair_sum	memory_pair_sum_xdp	staged	16	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/memory_pair_sum.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/memory_pair_sum.mem
bitcount	bitcount	bitcount_xdp	staged	2056	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/bitcount.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bitcount.mem
log2_fold	log2_fold	log2_fold_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/log2_fold.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/log2_fold.mem
dep_chain_short	dep_chain_short	dep_chain_short_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/dep_chain_short.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/dep_chain_short.mem
dep_chain_long	dep_chain_long	dep_chain_long_xdp	staged	2056	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/dep_chain_long.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/dep_chain_long.mem
binary_search	binary_search	binary_search_xdp	staged	392	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/binary_search.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/binary_search.mem
branch_layout	branch_layout	branch_layout_xdp	staged	3464	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/branch_layout.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/branch_layout.mem
switch_dispatch	switch_dispatch	switch_dispatch_xdp	staged	516	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/switch_dispatch.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/switch_dispatch.mem
branch_dense	branch_dense	branch_dense_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/branch_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/branch_dense.mem
cmov_select	cmov_select	cmov_select_xdp	staged	3464	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/cmov_select.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/cmov_select.mem
cmov_dense	cmov_dense	cmov_dense_xdp	staged	1024	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/cmov_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/cmov_dense.mem
checksum	checksum	checksum_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/checksum.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/checksum.mem
load_word32	load_word32	load_word32_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/load_word32.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/load_word32.mem
load_byte	load_byte	load_byte_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/load_byte.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/load_byte.mem
load_byte_recompose	load_byte_recompose	load_byte_recompose_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/load_byte_recompose.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/load_byte_recompose.mem
load_native_u64	load_native_u64	load_native_u64_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/load_native_u64.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/load_native_u64.mem
packet_parse	packet_parse	packet_parse_xdp	staged	3464	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/packet_parse.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/packet_parse.mem
bounds_ladder	bounds_ladder	bounds_ladder_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/bounds_ladder.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bounds_ladder.mem
bounds_check_heavy	bounds_check_heavy	bounds_check_heavy_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/bounds_check_heavy.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bounds_check_heavy.mem
stride_load_4	stride_load_4	stride_load_4_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/stride_load_4.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/stride_load_4.mem
stride_load_16	stride_load_16	stride_load_16_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/stride_load_16.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/stride_load_16.mem
mixed_alu_mem	mixed_alu_mem	mixed_alu_mem_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/mixed_alu_mem.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/mixed_alu_mem.mem
spill_pressure	spill_pressure	spill_pressure_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/spill_pressure.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/spill_pressure.mem
multi_acc_4	multi_acc_4	multi_acc_4_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/multi_acc_4.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/multi_acc_4.mem
multi_acc_8	multi_acc_8	multi_acc_8_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/multi_acc_8.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/multi_acc_8.mem
fibonacci_iter	fibonacci_iter	fibonacci_iter_xdp	staged	16	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/fibonacci_iter.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/fibonacci_iter.mem
fibonacci_iter_packet	fibonacci_iter_packet	fibonacci_iter_packet_xdp	packet	16	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/fibonacci_iter_packet.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/fibonacci_iter_packet.mem
fixed_loop_small	fixed_loop_small	fixed_loop_small_xdp	staged	16	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/fixed_loop_small.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/fixed_loop_small.mem
fixed_loop_large	fixed_loop_large	fixed_loop_large_xdp	staged	16	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/fixed_loop_large.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/fixed_loop_large.mem
nested_loop_2	nested_loop_2	nested_loop_2_xdp	staged	2064	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/nested_loop_2.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/nested_loop_2.mem
nested_loop_3	nested_loop_3	nested_loop_3_xdp	staged	2064	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/nested_loop_3.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/nested_loop_3.mem
code_clone_2	code_clone_2	code_clone_2_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/code_clone_2.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/code_clone_2.mem
code_clone_8	code_clone_8	code_clone_8_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/code_clone_8.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/code_clone_8.mem
large_mixed_500	large_mixed_500	large_mixed_500_xdp	staged	264	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/large_mixed_500.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/large_mixed_500.mem
large_mixed_1000	large_mixed_1000	large_mixed_1000_xdp	staged	264	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/large_mixed_1000.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/large_mixed_1000.mem
bpf_call_chain	bpf_call_chain	bpf_call_chain_xdp	staged	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/bpf_call_chain.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bpf_call_chain.mem
memcmp_prefix_64	memcmp_prefix_64	memcmp_prefix_64_xdp	staged	196	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/memcmp_prefix_64.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/memcmp_prefix_64.mem
packet_parse_vlans_tcpopts	packet_parse_vlans_tcpopts	packet_parse_vlans_tcpopts_xdp	packet	74	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/packet_parse_vlans_tcpopts.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/packet_parse_vlans_tcpopts.mem
local_call_fanout	local_call_fanout	local_call_fanout_xdp	staged	392	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/local_call_fanout.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/local_call_fanout.mem
packet_rss_hash	packet_rss_hash	packet_rss_hash_xdp	packet	54	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/packet_rss_hash.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/packet_rss_hash.mem
imm64_storm	imm64_storm	imm64_storm_xdp	staged	32	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/imm64_storm.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/imm64_storm.mem
alu32_64_pingpong	alu32_64_pingpong	alu32_64_pingpong_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/alu32_64_pingpong.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/alu32_64_pingpong.mem
branch_fanout_32	branch_fanout_32	branch_fanout_32_xdp	staged	516	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/branch_fanout_32.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/branch_fanout_32.mem
deep_guard_tree_8	deep_guard_tree_8	deep_guard_tree_8_xdp	staged	516	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/deep_guard_tree_8.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/deep_guard_tree_8.mem
mega_basic_block_2048	mega_basic_block_2048	mega_basic_block_2048_xdp	staged	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/mega_basic_block_2048.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/mega_basic_block_2048.mem
rotate64_hash	rotate64_hash	rotate64_hash_xdp	staged	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/rotate64_hash.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/rotate64_hash.mem
packet_redundant_bounds	packet_redundant_bounds	packet_redundant_bounds_xdp	packet	776	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/packet_redundant_bounds.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/packet_redundant_bounds.mem
const_fold_chain	const_fold_chain	const_fold_chain_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/const_fold_chain.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/const_fold_chain.mem
struct_field_cluster	struct_field_cluster	struct_field_cluster_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/struct_field_cluster.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/struct_field_cluster.mem
bitfield_extract	bitfield_extract	bitfield_extract_xdp	staged	520	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/bitfield_extract.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bitfield_extract.mem
smallmul_strength_reduce	smallmul_strength_reduce	smallmul_strength_reduce_xdp	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/smallmul_strength_reduce.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/smallmul_strength_reduce.mem
cond_select_dense	cond_select_dense	cond_select_dense_xdp	staged	3328	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/cond_select_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/cond_select_dense.mem
rotate_dense	rotate_dense	rotate_dense_xdp	staged	64	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/rotate_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/rotate_dense.mem
addr_calc_stride	addr_calc_stride	addr_calc_stride_xdp	staged	2048	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/addr_calc_stride.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/addr_calc_stride.mem
extract_dense	extract_dense	extract_dense_xdp	staged	2048	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/extract_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/extract_dense.mem
endian_swap_dense	endian_swap_dense	endian_swap_dense_xdp	staged	1024	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/endian_swap_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/endian_swap_dense.mem
branch_flip_dense	branch_flip_dense	branch_flip_dense_xdp	staged	2048	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/branch_flip_dense.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/branch_flip_dense.mem
tc_bitcount	tc_bitcount	tc_bitcount_prog	staged	2056	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/tc_bitcount.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/bitcount.mem
tc_checksum	tc_checksum	tc_checksum_prog	staged	1032	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/tc_checksum.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/checksum.mem
cgroup_hash_chain	cgroup_hash_chain	cgroup_hash_chain_prog	staged	72	/home/yunwei37/workspace/bpf-benchmark/.cache/micro-programs/x86_64/cgroup_hash_chain.bpf.o	/home/yunwei37/workspace/bpf-benchmark/micro/generated-inputs/hash_chain.mem
